id,latitude,longitude,price,minimum_nights,reviews_per_month,rate,num_bedroom,num_skytrain,num_bustop,num_restaurant,num_parks,num_market,dis_skytrain,dis_bustop,dis_restaurant,dis_parks,dis_market
13188,49.24773,-123.10509,150,3,1.61,4.83,1,1,11,26,1,3,795.97,136.39,271.97,408.45,277.64
13358,49.28201,-123.12669,227,1,2.88,4.68,1,4,33,104,3,4,587.01,110.13,127.86,158.46,129.73
13490,49.25622,-123.06607,150,30,0.67,4.92,1,2,7,3,4,0,664.12,285.14,409.21,216.2,955.03
14267,49.24922,-123.08139,150,3,0.22,4.76,1,0,16,16,1,3,1663.23,83.82,282.12,115.72,337.96
14424,49.27921,-123.08835,134,30,1.64,4.69,1,1,17,3,3,0,919.49,232.11,285.02,43.29,871.25
16254,49.27721,-123.04086,350,3,0.12,4.57,2,0,11,0,2,0,1918.99,247.34,525.42,353.45,990.45
16611,49.26339,-123.07145,100,365,0.05,4.0,3,3,24,22,3,2,219.96,114.24,103.89,113.45,216.28
17158,49.25277,-123.03774,195,5,0.05,5.0,4,2,16,5,1,0,876.89,239.83,355.93,387.59,1695.26
17765,49.26132,-123.10845,94,5,1.56,4.6,1,2,11,16,3,0,471.11,196.42,223.21,95.19,509.1
19527,49.26018,-123.13477,133,31,0.3,4.69,1,0,17,19,2,1,1499.65,246.99,266.2,293.8,310.27
20085,49.25636,-123.08636,99,30,0.48,4.8,2,0,11,15,3,0,1176.05,197.1,202.87,280.77,547.42
21913,49.23442,-123.05307,107,30,1.6,4.74,1,0,18,2,2,1,1205.8,185.87,437.74,357.52,443.54
24273,49.26216,-123.1715,160,30,0.13,5.0,2,0,15,31,0,4,3852.67,216.18,233.96,621.2,235.69
26047,49.28086,-123.12375,169,30,0.28,4.74,1,5,43,99,5,4,412.46,141.19,64.2,182.6,173.11
32746,49.2792,-123.105,127,30,0.56,4.27,1,7,38,56,7,3,313.5,32.2,145.02,62.24,241.84
33150,49.24677,-123.1048,175,4,0.82,4.97,1,1,12,24,3,3,844.14,245.19,242.52,342.91,244.5
35304,49.2729,-123.06973,125,2,3.54,4.75,1,0,9,42,3,3,1041.35,39.76,9.49,89.04,230.55
42645,49.28036,-123.1234,175,30,0.22,4.79,1,5,44,100,5,4,418.23,112.45,62.98,207.9,227.76
69763,49.28692,-123.13227,320,30,0.27,4.94,2,1,19,55,3,4,914.56,204.48,198.43,37.95,350.59
70453,49.27836,-123.08716,518,3,0.34,4.94,2,1,16,2,4,0,930.69,197.05,311.39,107.98,760.86
72659,49.27345,-123.07031,210,7,0.09,4.91,2,0,9,40,4,3,1062.36,55.97,70.63,17.14,174.61
73841,49.27591,-123.12359,129,30,0.14,4.74,1,3,32,93,7,5,195.53,56.52,70.02,92.37,50.58
77157,49.2452,-123.16544,165,2,4.98,4.82,1,0,9,0,1,0,3628.12,335.67,630.99,87.4,839.44
